run_id,site_id,battery_id,period_id,money_spent,money_no_batt,score
1_1_1,1,1,1,1161.052751041697,1233.0929011911326,-0.05842232169193963
1_1_2,1,1,2,1076.0945952681548,1139.5244661840347,-0.05566345681746509
1_1_3,1,1,3,1483.3363282141997,1547.702867125879,-0.04158843423945417
1_1_4,1,1,4,2744.793910747151,2870.871571782169,-0.04391616200259075
1_1_5,1,1,5,4369.379084356168,4666.8524299332685,-0.06374175100740304
1_1_6,1,1,6,1434.6914956290943,1497.5651578683012,-0.04198392431131606
1_1_7,1,1,7,5384.625824106864,5660.718853539406,-0.0487734926563105
1_1_8,1,1,8,1437.6714792667792,1508.4244017391054,-0.04690518291188682
1_1_9,1,1,9,1130.2922802985292,1197.9899338178275,-0.05650936757336116
1_1_10,1,1,10,2239.3066450914557,2312.231563471601,-0.0315387608802707
1_2_1,1,2,1,1104.0440073162026,1233.0929011911326,-0.10465464017372283
1_2_2,1,2,2,1020.1503596253098,1139.5244661840347,-0.10475782670860698
1_2_3,1,2,3,1429.888052393406,1547.702867125879,-0.07612237286298881
1_2_4,1,2,4,2631.5485790174985,2870.871571782169,-0.08336248654136232
1_2_5,1,2,5,4097.182366376644,4666.8524299332685,-0.12206729741500967
1_2_6,1,2,6,1378.1437918642448,1497.5651578683012,-0.07974368619395894
1_2_7,1,2,7,5111.202466896964,5660.718853539406,-0.0970753716727784
1_2_8,1,2,8,1380.636289205438,1508.4244017391054,-0.08471628567287615
1_2_9,1,2,9,1076.6591942020573,1197.9899338178275,-0.10127859691533968
1_2_10,1,2,10,2176.8839902547775,2312.231563471601,-0.05853547514662058
2_1_1,2,1,1,3528.8085935203235,3882.0725231166757,-0.09099879703245176
2_1_2,2,1,2,6373.0108473382625,6892.575795433443,-0.0753803749883185
2_1_3,2,1,3,1183.8625438164815,1301.4735695544432,-0.09036758677951912
2_1_4,2,1,4,4719.948494834297,5141.652175272716,-0.08201715442100115
2_1_5,2,1,5,6092.240628123131,6611.270274072295,-0.07850679588530296
2_1_6,2,1,6,4529.608575260337,4980.5032477494115,-0.09053195029896324
2_2_1,2,2,1,3292.2026569439163,3882.0725231166757,-0.15194715262536865
2_2_2,2,2,2,5915.728895603082,6892.575795433443,-0.14172450602248793
2_2_3,2,2,3,1105.4419129752682,1301.4735695544432,-0.1506228487193067
2_2_4,2,2,4,4349.905659304448,5141.652175272716,-0.15398679042817073
2_2_5,2,2,5,5615.696801245427,6611.270274072295,-0.1505873200693748
2_2_6,2,2,6,4212.418570988015,4980.5032477494115,-0.15421828649714836
3_1_1,3,1,1,644.2440861120862,760.7979781378207,-0.15319952914572604
3_1_2,3,1,2,121.6480715705016,172.75648585376493,-0.2958407843889903
3_1_3,3,1,3,186.83526837602008,234.8157819562961,-0.20433257586241005
3_1_4,3,1,4,436.54148623435714,455.41563558096317,-0.04144378864491272
3_1_5,3,1,5,1073.574487445699,1171.9439611338044,-0.08393701145312195
3_1_6,3,1,6,540.11747335614,652.3625670098016,-0.17205937208836697
3_1_7,3,1,7,159.26450291985893,204.24656580970364,-0.22023412100722645
3_1_8,3,1,8,104.79876989911776,155.29735437328824,-0.32517350136427337
3_1_9,3,1,9,1097.934868329047,1190.2707936162021,-0.07757556161369479
3_1_10,3,1,10,215.75622792315033,261.7450981125729,-0.17570097977400675
3_1_11,3,1,11,117.29783078702552,165.08196781392255,-0.28945703555435237
3_1_12,3,1,12,183.69391775998554,231.73341411051055,-0.2073050040492461
3_1_13,3,1,13,311.431267237508,333.07115103259383,-0.06497075393049634
3_1_14,3,1,14,1153.8226879495048,1244.3121392162657,-0.0727224692381093
3_2_1,3,2,1,569.9705596733775,760.7979781378207,-0.25082534910453497
3_2_2,3,2,2,85.09139383219853,172.75648585376493,-0.5074489191437549
3_2_3,3,2,3,158.94494848279516,234.8157819562961,-0.3231078969284186
3_2_4,3,2,4,421.1318866434234,455.41563558096317,-0.07528013150845114
3_2_5,3,2,5,995.7663852658947,1171.9439611338044,-0.15032935166751968
3_2_6,3,2,6,465.1626783618539,652.3625670098016,-0.2869568214283133
3_2_7,3,2,7,132.10356820530444,204.24656580970364,-0.3532152294380057
3_2_8,3,2,8,72.92069107469416,155.29735437328824,-0.5304447305688499
3_2_9,3,2,9,1018.744745223146,1190.2707936162021,-0.14410674387123037
3_2_10,3,2,10,185.04435867181815,261.7450981125729,-0.2930360109657788
3_2_11,3,2,11,83.297231161003,165.08196781392255,-0.4954189590537584
3_2_12,3,2,12,151.39058448754932,231.73341411051055,-0.3467036893723355
3_2_13,3,2,13,298.130208999778,333.07115103259383,-0.10490533906791753
3_2_14,3,2,14,1073.0854200134104,1244.3121392162657,-0.13760752933801887
4_1_1,4,1,1,428.05148903358577,528.0255939904192,-0.18933571799295668
4_1_2,4,1,2,95.65595520873856,134.49988163502158,-0.28880268111826124
4_1_3,4,1,3,96.23162807512819,142.1556612193073,-0.32305454985243875
4_1_4,4,1,4,153.18197003099542,191.190824963171,-0.19880062204604854
4_1_5,4,1,5,615.7861141834115,717.1658146575138,-0.14136159086517064
4_1_6,4,1,6,837.771780941651,925.8513460998552,-0.09513359302142727
4_1_7,4,1,7,396.16903210673684,492.5224640251616,-0.19563256289057776
4_1_8,4,1,8,165.2035066258151,199.0020492942565,-0.16984017394948947
4_1_9,4,1,9,827.824803839165,917.1784880768407,-0.09742235061033144
4_1_10,4,1,10,153.50898672859302,196.56075007659877,-0.21902522925471482
4_1_11,4,1,11,73.7373256001733,117.1409951570868,-0.37052501985926367
4_1_12,4,1,12,131.3362494525488,171.71161206495233,-0.23513472459352944
4_1_13,4,1,13,284.3173105189775,312.13343694429335,-0.0891161379492971
4_2_1,4,2,1,359.45872073947976,528.0255939904192,-0.3192399670952277
4_2_2,4,2,2,81.23931191566994,134.49988163502158,-0.3959897144287408
4_2_3,4,2,3,68.48589110352941,142.1556612193073,-0.518233107875497
4_2_4,4,2,4,137.89414440557468,191.190824963171,-0.27876170610102674
4_2_5,4,2,5,535.7382040562284,717.1658146575138,-0.25297860953945095
4_2_6,4,2,6,768.8642191399321,925.8513460998552,-0.16955975451267713
4_2_7,4,2,7,345.4449980215616,492.5224640251616,-0.29862082797524175
4_2_8,4,2,8,142.85154829082634,199.0020492942565,-0.28216041594829316
4_2_9,4,2,9,756.3494366278817,917.1784880768407,-0.1753519664271551
4_2_10,4,2,10,129.6800369838591,196.56075007659877,-0.34025466969716267
4_2_11,4,2,11,45.45274672107935,117.1409951570868,-0.6119825799659041
4_2_12,4,2,12,116.13314100963525,171.71161206495233,-0.32367334035798195
4_2_13,4,2,13,264.2163219716086,312.13343694429335,-0.15351484109418426
7_1_1,7,1,1,-13.655180291043775,-13.07967159802001,-0.04400024027444891
7_1_2,7,1,2,-7.008790798608596,-6.04534470842584,-0.1593699179535505
7_1_3,7,1,3,20.762557958268914,23.038329093470423,-0.09878195271750474
7_1_4,7,1,4,82.65133175350388,91.65023789849603,-0.09818748266598683
7_1_5,7,1,5,69.78885545361393,79.55173151054943,-0.12272361482968894
7_1_6,7,1,6,5.217889678146559,6.8373952370025,-0.2368600179921629
7_1_7,7,1,7,-7.855129831126215,-6.928900108083537,-0.13367629906543177
7_1_8,7,1,8,-8.190083869104166,-7.324885838171659,-0.11811761303142247
7_1_9,7,1,9,22.959734605287757,24.835604083702037,-0.07553146169073009
7_1_10,7,1,10,86.03462136999056,95.04836078496841,-0.09483319165671864
7_2_1,7,2,1,-13.675694494105153,-13.07967159802001,-0.04556864380106982
7_2_2,7,2,2,-7.1355758848520825,-6.04534470842584,-0.18034226814340423
7_2_3,7,2,3,19.256104580452895,23.038329093470423,-0.16417095604774112
7_2_4,7,2,4,75.71293116180804,91.65023789849603,-0.1738926935938648
7_2_5,7,2,5,63.56403609665907,79.55173151054943,-0.20097231210825642
7_2_6,7,2,6,4.379904357982914,6.8373952370025,-0.3594191638535357
7_2_7,7,2,7,-7.956478796215036,-6.928900108083537,-0.14830329086902022
7_2_8,7,2,8,-8.232751268853937,-7.324885838171659,-0.1239426048050036
7_2_9,7,2,9,21.598066979402365,24.835604083702037,-0.13035870170052574
7_2_10,7,2,10,78.60822773394972,95.04836078496841,-0.17296598189853943
10_1_1,10,1,1,8238.662990276607,9696.784960486917,-0.150371692901509
10_1_2,10,1,2,2312.0999046959214,2822.3408610212155,-0.18078643985640777
10_1_3,10,1,3,1960.2935934507805,2631.829704066701,-0.2551594085203399
10_1_4,10,1,4,2378.164950612523,3154.757992300192,-0.24616564680495215
10_1_5,10,1,5,4614.922186896113,4935.159391005101,-0.0648889283480199
10_1_6,10,1,6,7612.177557090112,8887.455455410856,-0.14349190324710212
10_1_7,10,1,7,7682.5656085587425,9206.205705111257,-0.16550141777807487
10_1_8,10,1,8,1682.5532660630051,2341.993109255488,-0.28157206807586066
10_1_9,10,1,9,2972.5181625185996,3702.768254069202,-0.19721733617762477
10_1_10,10,1,10,1872.0856333380889,2496.438343627362,-0.2500973884987199
10_2_1,10,2,1,7419.459425124242,9696.784960486917,-0.23485367001975058
10_2_2,10,2,2,2009.8426474984208,2822.3408610212155,-0.2878809660250627
10_2_3,10,2,3,1542.4264827093996,2631.829704066701,-0.41393378138181075
10_2_4,10,2,4,1858.8121425759261,3154.757992300192,-0.41079089200733526
10_2_5,10,2,5,4438.099797600211,4935.159391005101,-0.10071804252378116
10_2_6,10,2,6,6895.452917739684,8887.455455410856,-0.22413643001252984
10_2_7,10,2,7,6748.323596045581,9206.205705111257,-0.26698101126515855
10_2_8,10,2,8,1286.7780888123434,2341.993109255488,-0.45056282030590344
10_2_9,10,2,9,2528.8867529753106,3702.768254069202,-0.31702807752114653
10_2_10,10,2,10,1512.0911730881182,2496.438343627362,-0.3943006135328673
11_1_1,11,1,1,617.2328453932886,803.0462103056537,-0.2313856444719928
11_1_2,11,1,2,802.3636147810244,965.1339155026795,-0.16865048270205907
11_1_3,11,1,3,1834.2970955584485,2279.201513513571,-0.195201878955085
11_1_4,11,1,4,1332.0499111637828,1826.5016378392338,-0.27070970889486384
11_1_5,11,1,5,457.78367752796527,655.056799615551,-0.30115422388312607
11_1_6,11,1,6,649.4182473914196,839.3546571944739,-0.22628862325958007
11_1_7,11,1,7,2341.547621412677,2758.6117911884594,-0.15118624922432586
11_1_8,11,1,8,1797.8122015762376,2224.6679031745193,-0.1918738976676808
11_2_1,11,2,1,495.2720916836143,803.0462103056537,-0.38325829158062413
11_2_2,11,2,2,697.0421254536435,965.1339155026795,-0.27777677868609907
11_2_3,11,2,3,1596.3492665651652,2279.201513513571,-0.2996015239985229
11_2_4,11,2,4,993.4694149201314,1826.5016378392338,-0.4560807423663667
11_2_5,11,2,5,311.8574330086239,655.056799615551,-0.5239230656156059
11_2_6,11,2,6,551.1223295092009,839.3546571944739,-0.34339754383288207
11_2_7,11,2,7,2105.533562824005,2758.6117911884594,-0.23674162143818597
11_2_8,11,2,8,1582.9261443915177,2224.6679031745193,-0.28846631799166955
12_1_1,12,1,1,14.310045010894946,18.334671247670258,-0.21950904831668097
12_1_2,12,1,2,15.642140448566062,19.135100349002236,-0.18254202155873764
12_1_3,12,1,3,45.46994912351995,53.09429252464571,-0.1436000564012908
12_1_4,12,1,4,29.417181545036062,39.579554626509236,-0.25675814640588984
12_1_5,12,1,5,12.77584732906993,16.66495277286099,-0.23337032494472468
12_1_6,12,1,6,10.046290913582336,14.423816940225228,-0.3034928996107002
12_1_7,12,1,7,13.496042480030546,17.60575911472365,-0.23343024336031945
12_1_8,12,1,8,14.704858402765353,18.421523780786224,-0.20175667454270954
12_1_9,12,1,9,59.459699226471095,68.62201969360943,-0.13351866511722033
12_1_10,12,1,10,28.584283535793396,38.76858354603041,-0.26269466353200843
12_1_11,12,1,11,9.212669663762586,12.86648583875787,-0.28397934142894316
12_1_12,12,1,12,5.384481350010596,9.290659754529468,-0.42044144417348794
12_1_13,12,1,13,15.14838821300498,18.590921718243635,-0.1851728256087717
12_1_14,12,1,14,32.616752772639515,41.125759170536504,-0.20690211121970117
12_1_15,12,1,15,23.744601885018472,32.26772126217771,-0.26413762868187185
12_2_1,12,2,1,12.877711050513238,18.334671247670258,-0.2976306541547846
12_2_2,12,2,2,14.660614614434483,19.135100349002236,-0.23383654399288623
12_2_3,12,2,3,41.80474928609604,53.09429252464571,-0.21263195537089422
12_2_4,12,2,4,26.145761045779253,39.579554626509236,-0.339412449369312
12_2_5,12,2,5,10.73595663851774,16.66495277286099,-0.3557763538339375
12_2_6,12,2,6,7.936958681394647,14.423816940225228,-0.4497324311389443
12_2_7,12,2,7,11.43354051274444,17.60575911472365,-0.350579521266845
12_2_8,12,2,8,13.594594490882004,18.421523780786224,-0.2620266025408137
12_2_9,12,2,9,55.572966669223014,68.62201969360943,-0.19015839351055472
12_2_10,12,2,10,25.944035458124084,38.76858354603041,-0.33079743738069733
12_2_11,12,2,11,7.161887209670519,12.86648583875787,-0.44336881885054574
12_2_12,12,2,12,3.0813994657313297,9.290659754529468,-0.6683336224610897
12_2_13,12,2,13,14.158943625623165,18.590921718243635,-0.23839474770480495
12_2_14,12,2,14,30.577979100242583,41.125759170536504,-0.256476239783328
12_2_15,12,2,15,21.143047019445206,32.26772126217771,-0.3447616939648038
29_1_1,29,1,1,1220.9536063356454,1337.1608118793572,-0.08690593121734139
29_1_2,29,1,2,663.4663676301416,815.411535452876,-0.18634169522552163
29_1_3,29,1,3,663.353424252726,798.5928898870684,-0.16934719473080592
29_1_4,29,1,4,720.5436786209008,872.0759436594008,-0.17376040027275727
29_1_5,29,1,5,1165.457009053076,1249.3753046970542,-0.0671682042445416
29_1_6,29,1,6,1181.7164646473052,1261.5666277561809,-0.06329444783340296
29_1_7,29,1,7,502.6048440782693,655.858549991836,-0.23366883898284826
29_1_8,29,1,8,638.1717969430891,784.7856274902967,-0.18682022887711508
29_1_9,29,1,9,757.4891560309284,903.7902602797222,-0.1618750618130293
29_1_10,29,1,10,1392.5876233848173,1446.9008650429716,-0.037537638528221666
29_1_11,29,1,11,1342.8800600080456,1463.010065591161,-0.08211153730823739
29_1_12,29,1,12,779.3758618945529,936.1379026781833,-0.16745614116803959
29_1_13,29,1,13,688.3657287641612,840.0346916661983,-0.18055083249145776
29_1_14,29,1,14,1134.760017313388,1253.9792559564003,-0.09507273591386854
29_1_15,29,1,15,1458.6298606436987,1503.5444458078896,-0.029872469210617304
29_1_16,29,1,16,795.1626987305751,929.3933931110722,-0.14442828556287693
29_1_17,29,1,17,1588.389158288785,1623.8690107884788,-0.021848962117003753
29_1_18,29,1,18,1859.020085049323,1878.510291811499,-0.01037535266489337
29_1_19,29,1,19,1043.6982723897534,1184.6744053231891,-0.11899989760897747
29_2_1,29,2,1,1212.7371155993876,1337.1608118793572,-0.09305066015589715
29_2_2,29,2,2,585.4240792810676,815.411535452876,-0.28205077580129445
29_2_3,29,2,3,645.6284157190004,798.5928898870684,-0.19154249443630686
29_2_4,29,2,4,695.7686674036207,872.0759436594008,-0.20216963618553715
29_2_5,29,2,5,1155.4187963034392,1249.3753046970542,-0.07520278977852643
29_2_6,29,2,6,1183.8938278221513,1261.5666277561809,-0.06156852775360606
29_2_7,29,2,7,384.50782807533704,655.858549991836,-0.4137336044790095
29_2_8,29,2,8,577.2306274002023,784.7856274902967,-0.2644734980096979
29_2_9,29,2,9,674.846008691234,903.7902602797222,-0.2533156879978217
29_2_10,29,2,10,1394.0206860856727,1446.9008650429716,-0.03654720253120348
29_2_11,29,2,11,1319.0515914429805,1463.010065591161,-0.09839882686658825
29_2_12,29,2,12,731.7978849484349,936.1379026781833,-0.21827982516801747
29_2_13,29,2,13,640.0463963117236,840.0346916661983,-0.23807147173624515
29_2_14,29,2,14,1135.5217641084525,1253.9792559564003,-0.09446527228044224
29_2_15,29,2,15,1460.0682557296216,1503.5444458078896,-0.02891579972875843
29_2_16,29,2,16,731.2305787903047,929.3933931110722,-0.21321736929658272
29_2_17,29,2,17,1596.1047724522616,1623.8690107884788,-0.017097584935583023
29_2_18,29,2,18,1850.4687580850232,1878.510291811499,-0.014927537979807698
29_2_19,29,2,19,992.7449378195367,1184.6744053231891,-0.162010309871844
31_1_1,31,1,1,903.405326510518,1135.156891574956,-0.20415818005817496
31_1_2,31,1,2,2485.81989836539,3011.7726477869974,-0.17463228833294203
31_1_3,31,1,3,2280.0100744195115,2426.2143464357823,-0.060260245444122215
31_1_4,31,1,4,2985.527511341234,3111.7367392609967,-0.040559095609654955
31_1_5,31,1,5,1281.4624634965157,1517.0079402970068,-0.15526977186050517
31_1_6,31,1,6,4567.92660968318,4639.938026812931,-0.015519909256032452
31_1_7,31,1,7,1427.829053736458,1691.4614697372945,-0.15586072796667483
31_1_8,31,1,8,2568.9476211957576,3116.766202308375,-0.17576505440378737
31_1_9,31,1,9,4670.962649251514,5162.995970966226,-0.09529996236325368
31_1_10,31,1,10,1883.3156462886222,2078.880586994729,-0.09407223384043402
31_2_1,31,2,1,724.8743909672539,1135.156891574956,-0.3614324184196794
31_2_2,31,2,2,2096.5571275011744,3011.7726477869974,-0.3038793519020464
31_2_3,31,2,3,2167.347037427328,2426.2143464357823,-0.10669597654829718
31_2_4,31,2,4,2891.039692692919,3111.7367392609967,-0.07092407393708088
31_2_5,31,2,5,1091.7837159881108,1517.0079402970068,-0.2803045475329837
31_2_6,31,2,6,4498.9302859393865,4639.938026812931,-0.030390005223927367
31_2_7,31,2,7,1207.5330260582234,1691.4614697372945,-0.28610077872730455
31_2_8,31,2,8,2127.4902905769673,3116.766202308375,-0.3174045942229221
31_2_9,31,2,9,4202.288031145517,5162.995970966226,-0.18607567102960912
31_2_10,31,2,10,1766.042178874252,2078.880586994729,-0.150484068242093
32_1_1,32,1,1,3272.7917775877568,3479.111170675383,-0.05930232837244307
32_1_2,32,1,2,2397.659227180542,3060.1150770130894,-0.2164806986537107
32_1_3,32,1,3,1595.9452710482612,2483.149489598736,-0.3572898942519334
32_1_4,32,1,4,1601.470496087986,1983.4510820806752,-0.19258381991048892
32_1_5,32,1,5,2407.7596210002075,2629.989584867249,-0.08449841974498115
32_2_1,32,2,1,3111.215725584024,3479.111170675383,-0.10574409009756981
32_2_2,32,2,2,2040.0569889563476,3060.1150770130894,-0.33333978049361396
32_2_3,32,2,3,1170.7088721407074,2483.149489598736,-0.5285387057668092
32_2_4,32,2,4,1405.9054331925881,1983.4510820806752,-0.2911821996044548
32_2_5,32,2,5,2255.6110912032955,2629.989584867249,-0.1423498008578048
